sample	user_id	group	r1	r2
nr34	C1-DD-49	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-2/YF-4363-Pool-2_YF-4363_nr34-C1-DD-49.v1_ACTGAT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-2/YF-4363-Pool-2_YF-4363_nr34-C1-DD-49.v1_ACTGAT_R2.fastq.gz
nr35	C1-DD-50	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr35-C1-DD-50.v1_CAGATC_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr35-C1-DD-50.v1_CAGATC_R2.fastq.gz
nr36	C2-DD-51	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr36-C2-DD-51.v1_GCCAAT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-6/YF-4363-Pool-6_YF-4363_nr36-C2-DD-51.v1_GCCAAT_R2.fastq.gz
nr37	C3-DD-1	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr37-C3-DD-1.v1_CGATGT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr37-C3-DD-1.v1_CGATGT_R2.fastq.gz
nr38	C2-DD-6	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-5/YF-4363-Pool-5_YF-4363_nr38-C2-DD-6.v1_CAAAAG_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-5/YF-4363-Pool-5_YF-4363_nr38-C2-DD-6.v1_CAAAAG_R2.fastq.gz
nr39	C3-DD-6	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-5/YF-4363-Pool-5_YF-4363_nr39-C3-DD-6.v1_ACTGAT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-5/YF-4363-Pool-5_YF-4363_nr39-C3-DD-6.v1_ACTGAT_R2.fastq.gz
nr40	C3-NN-12	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr40-C3-NN-12.v1_ACTGAT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr40-C3-NN-12.v1_ACTGAT_R2.fastq.gz
nr41	C2-DD-15	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr41-C2-DD-15.v1_ATGAGC_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr41-C2-DD-15.v1_ATGAGC_R2.fastq.gz
nr42	C3-DD-28	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr42-C3-DD-28.v1_ACAGTG_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr42-C3-DD-28.v1_ACAGTG_R2.fastq.gz
nr43	C2-DD-34	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-2/YF-4363-Pool-2_YF-4363_nr43-C2-DD-34.v1_CGATGT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-2/YF-4363-Pool-2_YF-4363_nr43-C2-DD-34.v1_CGATGT_R2.fastq.gz
nr44	C3-NN-36	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-4/YF-4363-Pool-4_YF-4363_nr44-C3-NN-36.v1_GATCAG_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-4/YF-4363-Pool-4_YF-4363_nr44-C3-NN-36.v1_GATCAG_R2.fastq.gz
nr45	C3-NN-38	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-4/YF-4363-Pool-4_YF-4363_nr45-C3-NN-38.v1_ACAGTG_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-4/YF-4363-Pool-4_YF-4363_nr45-C3-NN-38.v1_ACAGTG_R2.fastq.gz
nr46	C2-DD-40	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-5/YF-4363-Pool-5_YF-4363_nr46-C2-DD-40.v1_ATCACG_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-5/YF-4363-Pool-5_YF-4363_nr46-C2-DD-40.v1_ATCACG_R2.fastq.gz
nr47	C3-DD-41	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-4/YF-4363-Pool-4_YF-4363_nr47-C3-DD-41.v1_GATGCT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-4/YF-4363-Pool-4_YF-4363_nr47-C3-DD-41.v1_GATGCT_R2.fastq.gz
nr48	C3-DD-46	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr48-C3-DD-46.v1_ATCACG_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr48-C3-DD-46.v1_ATCACG_R2.fastq.gz
nr49	C2-DD-1	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr49-C2-DD-1.v1_GCCAAT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr49-C2-DD-1.v1_GCCAAT_R2.fastq.gz
nr50	C2-DD-7	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr50-C2-DD-7.v1_ATTCCT_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr50-C2-DD-7.v1_ATTCCT_R2.fastq.gz
nr51	C2-DD-23	DD	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-4/YF-4363-Pool-4_YF-4363_nr51-C2-DD-23.v1_GGCTAC_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-4/YF-4363-Pool-4_YF-4363_nr51-C2-DD-23.v1_GGCTAC_R2.fastq.gz
nr52	C3-NN-27	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-5/YF-4363-Pool-5_YF-4363_nr52-C3-NN-27.v1_ACAGTG_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-5/YF-4363-Pool-5_YF-4363_nr52-C3-NN-27.v1_ACAGTG_R2.fastq.gz
nr53	C3-NN-28	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr53-C3-NN-28.v1_ACTTGA_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-1/YF-4363-Pool-1_YF-4363_nr53-C3-NN-28.v1_ACTTGA_R2.fastq.gz
nr54	C2-NN-33	NN	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr54-C2-NN-33.v1_TGACCA_R1.fastq.gz	/Users/stockholmbutterflylab/Desktop/snpseq01427/files/YF-4363/demultiplexed_pheniqs/YF-4363-Pool-3/YF-4363-Pool-3_YF-4363_nr54-C2-NN-33.v1_TGACCA_R2.fastq.gz
